ENSEMBL_GENE_ID	Name	Species
ENSG00000151693	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2(ASAP2)	Homo sapiens
ENSG00000150756	family with sequence similarity 173 member B(FAM173B)	Homo sapiens
ENSG00000117525	coagulation factor III, tissue factor(F3)	Homo sapiens
ENSG00000198939	ZFP2 zinc finger protein(ZFP2)	Homo sapiens
ENSG00000147166	integrin subunit beta 1 binding protein 2(ITGB1BP2)	Homo sapiens
ENSG00000157423	HYDIN, axonemal central pair apparatus protein(HYDIN)	Homo sapiens
ENSG00000169789	PTPN13-like, Y-linked(PRY)	Homo sapiens
ENSG00000185792	NLR family pyrin domain containing 9(NLRP9)	Homo sapiens
ENSG00000007216	solute carrier family 13 member 2(SLC13A2)	Homo sapiens
ENSG00000134321	radical S-adenosyl methionine domain containing 2(RSAD2)	Homo sapiens
ENSG00000071626	DAZ associated protein 1(DAZAP1)	Homo sapiens
ENSG00000078043	protein inhibitor of activated STAT 2(PIAS2)	Homo sapiens
ENSG00000052802	methylsterol monooxygenase 1(MSMO1)	Homo sapiens
ENSG00000140451	PIF1 5'-to-3' DNA helicase(PIF1)	Homo sapiens
ENSG00000144730	interleukin 17 receptor D(IL17RD)	Homo sapiens
ENSG00000122870	BicC family RNA binding protein 1(BICC1)	Homo sapiens
ENSG00000128645	microRNA 7704(MIR7704)	Homo sapiens
ENSG00000130725	ubiquitin conjugating enzyme E2 M(UBE2M)	Homo sapiens
ENSG00000164309	cardiomyopathy associated 5(CMYA5)	Homo sapiens
ENSG00000136250	acyloxyacyl hydrolase(AOAH)	Homo sapiens
ENSG00000025800	karyopherin subunit alpha 6(KPNA6)	Homo sapiens
ENSG00000140368	proline-serine-threonine phosphatase interacting protein 1(PSTPIP1)	Homo sapiens
ENSG00000092847	argonaute 1, RISC catalytic component(AGO1)	Homo sapiens
ENSG00000115827	DDB1 and CUL4 associated factor 17(DCAF17)	Homo sapiens
ENSG00000112130	ring finger protein 8(RNF8)	Homo sapiens
ENSG00000163191	S100 calcium binding protein A11(S100A11)	Homo sapiens
ENSG00000054796	SPO11, initiator of meiotic double stranded breaks(SPO11)	Homo sapiens
ENSG00000151729	solute carrier family 25 member 4(SLC25A4)	Homo sapiens
ENSG00000142538	parathyroid hormone 2(PTH2)	Homo sapiens
ENSG00000141562	nuclear prelamin A recognition factor(NARF)	Homo sapiens
ENSG00000215196	uncharacterized LOC285696(LOC285696)	Homo sapiens
ENSG00000106069	uncharacterized LOC101928168(LOC101928168)	Homo sapiens
ENSG00000010270	STARD3 N-terminal like(STARD3NL)	Homo sapiens
ENSG00000061337	leucine zipper tumor suppressor 1(LZTS1)	Homo sapiens
ENSG00000135679	MDM2 proto-oncogene(MDM2)	Homo sapiens
ENSG00000204849	SPATA31 subfamily A member 1(SPATA31A1)	Homo sapiens
ENSG00000091583	apolipoprotein H(APOH)	Homo sapiens
ENSG00000071991	cadherin 19(CDH19)	Homo sapiens
ENSG00000174106	LEM domain containing 3(LEMD3)	Homo sapiens
ENSG00000084234	amyloid beta precursor like protein 2(APLP2)	Homo sapiens
ENSG00000148459	prenyl (decaprenyl) diphosphate synthase, subunit 1(PDSS1)	Homo sapiens
ENSG00000143184	X-C motif chemokine ligand 1(XCL1)	Homo sapiens
ENSG00000159409	CUGBP, Elav-like family member 3(CELF3)	Homo sapiens
ENSG00000167461	RAB8A, member RAS oncogene family(RAB8A)	Homo sapiens
ENSG00000104814	mitogen-activated protein kinase kinase kinase kinase 1(MAP4K1)	Homo sapiens
ENSG00000168000	BSCL2, seipin lipid droplet biogenesis associated(BSCL2)	Homo sapiens
ENSG00000160211	glucose-6-phosphate dehydrogenase(G6PD)	Homo sapiens
ENSG00000169306	interleukin 1 receptor accessory protein like 1(IL1RAPL1)	Homo sapiens
ENSG00000106397	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3(PLOD3)	Homo sapiens
ENSG00000173114	leucine rich repeat neuronal 3(LRRN3)	Homo sapiens
ENSG00000118804	starch binding domain 1(STBD1)	Homo sapiens
ENSG00000184584	transmembrane protein 173(TMEM173)	Homo sapiens
ENSG00000113761	zinc finger protein 346(ZNF346)	Homo sapiens
ENSG00000089060	solute carrier family 8 member B1(SLC8B1)	Homo sapiens
ENSG00000197044	zinc finger protein 441(ZNF441)	Homo sapiens
ENSG00000172671	zinc finger AN1-type containing 4(ZFAND4)	Homo sapiens
ENSG00000022355	gamma-aminobutyric acid type A receptor alpha1 subunit(GABRA1)	Homo sapiens
ENSG00000109667	solute carrier family 2 member 9(SLC2A9)	Homo sapiens
ENSG00000109458	GRB2 associated binding protein 1(GAB1)	Homo sapiens
ENSG00000116171	sterol carrier protein 2(SCP2)	Homo sapiens
ENSG00000132471	WW domain binding protein 2(WBP2)	Homo sapiens
ENSG00000168447	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens
ENSG00000122367	LIM domain binding 3(LDB3)	Homo sapiens
ENSG00000108231	leucine rich glioma inactivated 1(LGI1)	Homo sapiens
ENSG00000163126	ankyrin repeat domain 23(ANKRD23)	Homo sapiens
ENSG00000143324	xenotropic and polytropic retrovirus receptor 1(XPR1)	Homo sapiens
ENSG00000124429	premature ovarian failure, 1B(POF1B)	Homo sapiens
ENSG00000171863	ribosomal protein S7(RPS7)	Homo sapiens
ENSG00000212916	microtubule associated protein 10(MAP10)	Homo sapiens
ENSG00000212916	microtubule associated protein 10(MAP10)	Homo sapiens
ENSG00000107960	STN1, CST complex subunit(STN1)	Homo sapiens
ENSG00000162910	mitochondrial ribosomal protein L55(MRPL55)	Homo sapiens
ENSG00000137818	ribosomal protein lateral stalk subunit P1(RPLP1)	Homo sapiens
ENSG00000131437	kinesin family member 3A(KIF3A)	Homo sapiens
ENSG00000143878	ras homolog family member B(RHOB)	Homo sapiens
ENSG00000149273	ribosomal protein S3(RPS3)	Homo sapiens
ENSG00000105976	MET proto-oncogene, receptor tyrosine kinase(MET)	Homo sapiens
ENSG00000182327	glycolipid transfer protein domain containing 2(GLTPD2)	Homo sapiens
ENSG00000160781	progestin and adipoQ receptor family member 6(PAQR6)	Homo sapiens
ENSG00000198841	KTI12 chromatin associated homolog(KTI12)	Homo sapiens
ENSG00000062096	arylsulfatase F(ARSF)	Homo sapiens
ENSG00000186350	retinoid X receptor alpha(RXRA)	Homo sapiens
ENSG00000159337	phospholipase A2 group IVD(PLA2G4D)	Homo sapiens
ENSG00000099953	matrix metallopeptidase 11(MMP11)	Homo sapiens
ENSG00000166743	acyl-CoA synthetase medium-chain family member 1(ACSM1)	Homo sapiens
ENSG00000039600	SRY-box 30(SOX30)	Homo sapiens
ENSG00000106266	microRNA 6836(MIR6836)	Homo sapiens
ENSG00000166317	synaptopodin 2 like(SYNPO2L)	Homo sapiens
ENSG00000175063	ubiquitin conjugating enzyme E2 C(UBE2C)	Homo sapiens
ENSG00000136240	KDEL endoplasmic reticulum protein retention receptor 2(KDELR2)	Homo sapiens
ENSG00000126458	related RAS viral (r-ras) oncogene homolog(RRAS)	Homo sapiens
ENSG00000071243	inhibitor of growth family member 3(ING3)	Homo sapiens
ENSG00000108389	myotubularin related protein 4(MTMR4)	Homo sapiens
ENSG00000096395	motilin(MLN)	Homo sapiens
ENSG00000188897	vitellogenin(LOC400499)	Homo sapiens
ENSG00000099203	transmembrane p24 trafficking protein 1(TMED1)	Homo sapiens
ENSG00000104369	junctophilin 1(JPH1)	Homo sapiens
ENSG00000196549	membrane metalloendopeptidase(MME)	Homo sapiens
ENSG00000143153	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)	Homo sapiens
ENSG00000152348	autophagy related 10(ATG10)	Homo sapiens
ENSG00000124784	RIO kinase 1(RIOK1)	Homo sapiens
ENSG00000138190	exocyst complex component 6(EXOC6)	Homo sapiens
ENSG00000115307	ancient ubiquitous protein 1(AUP1)	Homo sapiens
ENSG00000106236	neuronal pentraxin 2(NPTX2)	Homo sapiens
ENSG00000168038	unc-51 like kinase 4(ULK4)	Homo sapiens
ENSG00000108352	Rap guanine nucleotide exchange factor like 1(RAPGEFL1)	Homo sapiens
ENSG00000196976	L antigen family member 3(LAGE3)	Homo sapiens
ENSG00000115998	chromosome 2 open reading frame 42(C2orf42)	Homo sapiens
ENSG00000033627	microRNA 5010(MIR5010)	Homo sapiens
ENSG00000143768	left-right determination factor 2(LEFTY2)	Homo sapiens
ENSG00000175137	SH3 binding domain protein 5 like(SH3BP5L)	Homo sapiens
ENSG00000148488	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6(ST8SIA6)	Homo sapiens
ENSG00000092969	transforming growth factor beta 2(TGFB2)	Homo sapiens
ENSG00000141756	FK506 binding protein 10(FKBP10)	Homo sapiens
ENSG00000124767	glyoxalase I(GLO1)	Homo sapiens
ENSG00000166148	arginine vasopressin receptor 1A(AVPR1A)	Homo sapiens
ENSG00000111845	PAK1 interacting protein 1(PAK1IP1)	Homo sapiens
ENSG00000128284	apolipoprotein L3(APOL3)	Homo sapiens
ENSG00000110427	KIAA1549 like(KIAA1549L)	Homo sapiens
ENSG00000091536	myosin XVA(MYO15A)	Homo sapiens
ENSG00000087076	hydroxysteroid 17-beta dehydrogenase 14(HSD17B14)	Homo sapiens
ENSG00000206561	collagen like tail subunit of asymmetric acetylcholinesterase(COLQ)	Homo sapiens
ENSG00000075234	tetratricopeptide repeat domain 38(TTC38)	Homo sapiens
ENSG00000107175	cAMP responsive element binding protein 3(CREB3)	Homo sapiens
ENSG00000147416	ATPase H+ transporting V1 subunit B2(ATP6V1B2)	Homo sapiens
ENSG00000136297	monocyte to macrophage differentiation associated 2(MMD2)	Homo sapiens
ENSG00000104872	PIH1 domain containing 1(PIH1D1)	Homo sapiens
ENSG00000164916	forkhead box K1(FOXK1)	Homo sapiens
ENSG00000114573	ATPase H+ transporting V1 subunit A(ATP6V1A)	Homo sapiens
ENSG00000170035	ubiquitin conjugating enzyme E2 E3(UBE2E3)	Homo sapiens
ENSG00000137462	toll like receptor 2(TLR2)	Homo sapiens
ENSG00000100242	Sad1 and UNC84 domain containing 2(SUN2)	Homo sapiens
ENSG00000075643	molybdenum cofactor sulfurase(MOCOS)	Homo sapiens
ENSG00000174749	chromosome 4 open reading frame 32(C4orf32)	Homo sapiens
ENSG00000134363	follistatin(FST)	Homo sapiens
ENSG00000101292	prokineticin receptor 2(PROKR2)	Homo sapiens
ENSG00000073969	N-ethylmaleimide sensitive factor, vesicle fusing ATPase(NSF)	Homo sapiens
ENSG00000164743	chromosome 8 open reading frame 48(C8orf48)	Homo sapiens
ENSG00000115239	ankyrin repeat and SOCS box containing 3(ASB3)	Homo sapiens
ENSG00000184012	transmembrane protease, serine 2(TMPRSS2)	Homo sapiens
ENSG00000198889	DDB1 and CUL4 associated factor 12 like 1(DCAF12L1)	Homo sapiens
ENSG00000167617	CDC42 effector protein 5(CDC42EP5)	Homo sapiens
ENSG00000122574	WAS/WASL interacting protein family member 3(WIPF3)	Homo sapiens
ENSG00000163431	leiomodin 1(LMOD1)	Homo sapiens
ENSG00000147533	golgin A7(GOLGA7)	Homo sapiens
ENSG00000149809	transmembrane 7 superfamily member 2(TM7SF2)	Homo sapiens
ENSG00000095739	BMP and activin membrane bound inhibitor(BAMBI)	Homo sapiens
ENSG00000140365	COMM domain containing 4(COMMD4)	Homo sapiens
ENSG00000114854	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens
ENSG00000162813	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens
ENSG00000142178	salt inducible kinase 1(SIK1)	Homo sapiens
ENSG00000099949	leucine zipper like transcription regulator 1(LZTR1)	Homo sapiens
ENSG00000057657	PR/SET domain 1(PRDM1)	Homo sapiens
ENSG00000182057	opioid growth factor receptor pseudogene 1(OGFRP1)	Homo sapiens
ENSG00000105849	TWIST neighbor(TWISTNB)	Homo sapiens
ENSG00000185666	synapsin III(SYN3)	Homo sapiens
ENSG00000154438	ankyrin repeat, SAM and basic leucine zipper domain containing 1(ASZ1)	Homo sapiens
ENSG00000146830	GRB10 interacting GYF protein 1(GIGYF1)	Homo sapiens
ENSG00000198900	topoisomerase (DNA) I(TOP1)	Homo sapiens
ENSG00000138617	poly(ADP-ribose) polymerase family member 16(PARP16)	Homo sapiens
ENSG00000104427	zinc finger C2HC-type containing 1A(ZC2HC1A)	Homo sapiens
ENSG00000111554	Mdm1 nuclear protein(MDM1)	Homo sapiens
ENSG00000122547	endonuclease/exonuclease/phosphatase family domain containing 1(EEPD1)	Homo sapiens
ENSG00000077147	transmembrane 9 superfamily member 3(TM9SF3)	Homo sapiens
ENSG00000169019	COMM domain containing 8(COMMD8)	Homo sapiens
ENSG00000182872	RNA binding motif protein 10(RBM10)	Homo sapiens
ENSG00000140379	BCL2 related protein A1(BCL2A1)	Homo sapiens
ENSG00000111669	triosephosphate isomerase 1(TPI1)	Homo sapiens
ENSG00000143443	chromosome 1 open reading frame 56(C1orf56)	Homo sapiens
ENSG00000137819	progestin and adipoQ receptor family member 5(PAQR5)	Homo sapiens
ENSG00000143398	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)	Homo sapiens
ENSG00000135632	SMYD family member 5(SMYD5)	Homo sapiens
ENSG00000130518	KIAA1683(KIAA1683)	Homo sapiens
ENSG00000115507	orthodenticle homeobox 1(OTX1)	Homo sapiens
ENSG00000139618	BRCA2, DNA repair associated(BRCA2)	Homo sapiens
ENSG00000105576	transportin 2(TNPO2)	Homo sapiens
ENSG00000204219	transcription elongation factor A3(TCEA3)	Homo sapiens
ENSG00000135917	solute carrier family 19 member 3(SLC19A3)	Homo sapiens
ENSG00000111678	chromosome 12 open reading frame 57(C12orf57)	Homo sapiens
ENSG00000177169	unc-51 like autophagy activating kinase 1(ULK1)	Homo sapiens
ENSG00000167302	TEPSIN, adaptor related protein complex 4 accessory protein(TEPSIN)	Homo sapiens
ENSG00000108528	solute carrier family 25 member 11(SLC25A11)	Homo sapiens
ENSG00000165509	MAGE family member C3(MAGEC3)	Homo sapiens
ENSG00000168092	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)	Homo sapiens
ENSG00000123243	inter-alpha-trypsin inhibitor heavy chain family member 5(ITIH5)	Homo sapiens
ENSG00000140382	high mobility group 20A(HMG20A)	Homo sapiens
ENSG00000139797	ring finger protein 113B(RNF113B)	Homo sapiens
ENSG00000011295	tetratricopeptide repeat domain 19(TTC19)	Homo sapiens
ENSG00000114354	TRK-fused gene(TFG)	Homo sapiens
ENSG00000204396	von Willebrand factor A domain containing 7(VWA7)	Homo sapiens
ENSG00000115042	fumarylacetoacetate hydrolase domain containing 2A(FAHD2A)	Homo sapiens
ENSG00000122687	mitochondrial rRNA methyltransferase 2(MRM2)	Homo sapiens
ENSG00000136750	glutamate decarboxylase 2(GAD2)	Homo sapiens
ENSG00000245534	RORA antisense RNA 1(RORA-AS1)	Homo sapiens
ENSG00000175591	purinergic receptor P2Y2(P2RY2)	Homo sapiens
ENSG00000111344	RAS protein activator like 1(RASAL1)	Homo sapiens
ENSG00000116985	bone morphogenetic protein 8b(BMP8B)	Homo sapiens
ENSG00000108021	family with sequence similarity 208 member B(FAM208B)	Homo sapiens
ENSG00000138696	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens
ENSG00000168546	GDNF family receptor alpha 2(GFRA2)	Homo sapiens
ENSG00000158863	family with sequence similarity 160 member B2(FAM160B2)	Homo sapiens
ENSG00000167797	cyclin dependent kinase 2 associated protein 2(CDK2AP2)	Homo sapiens
ENSG00000164930	frizzled class receptor 6(FZD6)	Homo sapiens
ENSG00000140688	chromosome 16 open reading frame 58(C16orf58)	Homo sapiens
ENSG00000175664	testis expressed 26(TEX26)	Homo sapiens
ENSG00000112337	solute carrier family 17 member 2(SLC17A2)	Homo sapiens
ENSG00000085231	adenylate kinase 6(AK6)	Homo sapiens
ENSG00000140527	WD repeat domain 93(WDR93)	Homo sapiens
ENSG00000153157	synaptonemal complex protein 2 like(SYCP2L)	Homo sapiens
ENSG00000164056	sprouty RTK signaling antagonist 1(SPRY1)	Homo sapiens
ENSG00000142188	transmembrane protein 50B(TMEM50B)	Homo sapiens
ENSG00000139644	transmembrane BAX inhibitor motif containing 6(TMBIM6)	Homo sapiens
ENSG00000116668	SWT1, RNA endoribonuclease homolog(SWT1)	Homo sapiens
ENSG00000084734	glucokinase regulator(GCKR)	Homo sapiens
ENSG00000185955	chromosome 7 open reading frame 61(C7orf61)	Homo sapiens
ENSG00000174446	small nuclear RNA activating complex polypeptide 5(SNAPC5)	Homo sapiens
ENSG00000150873	chromosome 2 open reading frame 50(C2orf50)	Homo sapiens
ENSG00000143811	microRNA 6741(MIR6741)	Homo sapiens
ENSG00000196967	zinc finger protein 585A(ZNF585A)	Homo sapiens
ENSG00000112936	complement C7(C7)	Homo sapiens
ENSG00000112981	NME/NM23 family member 5(NME5)	Homo sapiens
ENSG00000123838	complement component 4 binding protein alpha(C4BPA)	Homo sapiens
ENSG00000166734	cancer susceptibility candidate 4(CASC4)	Homo sapiens
ENSG00000149260	calpain 5(CAPN5)	Homo sapiens
ENSG00000138100	tripartite motif containing 54(TRIM54)	Homo sapiens
ENSG00000124215	cadherin 26(CDH26)	Homo sapiens
ENSG00000116266	syntaxin binding protein 3(STXBP3)	Homo sapiens
ENSG00000070019	guanylate cyclase 2C(GUCY2C)	Homo sapiens
ENSG00000143774	guanylate kinase 1(GUK1)	Homo sapiens
ENSG00000103932	RNA polymerase II associated protein 1(RPAP1)	Homo sapiens
ENSG00000106631	myosin light chain 7(MYL7)	Homo sapiens
ENSG00000077943	integrin subunit alpha 8(ITGA8)	Homo sapiens
ENSG00000125869	lysosomal associated membrane protein family member 5(LAMP5)	Homo sapiens
ENSG00000147419	coiled-coil domain containing 25(CCDC25)	Homo sapiens
ENSG00000072786	serine/threonine kinase 10(STK10)	Homo sapiens
ENSG00000021461	cytochrome P450 family 3 subfamily A member 43(CYP3A43)	Homo sapiens
ENSG00000077514	DNA polymerase delta 3, accessory subunit(POLD3)	Homo sapiens
ENSG00000143127	integrin subunit alpha 10(ITGA10)	Homo sapiens
ENSG00000152778	interferon induced protein with tetratricopeptide repeats 5(IFIT5)	Homo sapiens
ENSG00000170006	transmembrane protein 154(TMEM154)	Homo sapiens
ENSG00000108175	zinc finger MIZ-type containing 1(ZMIZ1)	Homo sapiens
ENSG00000160808	myosin light chain 3(MYL3)	Homo sapiens
ENSG00000116544	DLG associated protein 3(DLGAP3)	Homo sapiens
ENSG00000137411	valyl-tRNA synthetase 2, mitochondrial(VARS2)	Homo sapiens
ENSG00000112530	PARK2 coregulated(PACRG)	Homo sapiens
ENSG00000074706	interaction protein for cytohesin exchange factors 1(IPCEF1)	Homo sapiens
ENSG00000108878	calcium voltage-gated channel auxiliary subunit gamma 1(CACNG1)	Homo sapiens
ENSG00000110958	prostaglandin E synthase 3(PTGES3)	Homo sapiens
ENSG00000159708	leucine rich repeat containing 36(LRRC36)	Homo sapiens
ENSG00000169994	myosin VIIB(MYO7B)	Homo sapiens
ENSG00000123201	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)(GUCY1B2)	Homo sapiens
ENSG00000112309	beta-1,3-glucuronyltransferase 2(B3GAT2)	Homo sapiens
ENSG00000140577	CREB regulated transcription coactivator 3(CRTC3)	Homo sapiens
ENSG00000063180	carbonic anhydrase 11(CA11)	Homo sapiens
ENSG00000151475	solute carrier family 25 member 31(SLC25A31)	Homo sapiens
ENSG00000134317	grainyhead like transcription factor 1(GRHL1)	Homo sapiens
ENSG00000165630	pre-mRNA processing factor 18(PRPF18)	Homo sapiens
ENSG00000105982	ring finger protein 32(RNF32)	Homo sapiens
ENSG00000033800	protein inhibitor of activated STAT 1(PIAS1)	Homo sapiens
ENSG00000109851	developing brain homeobox 1(DBX1)	Homo sapiens
